u,v,length
IA0,IA3,31660.7307
IA1,IA4,12871.90752
IA3,IA70,30822.35604
IA3,IA0,31698.08079
IA4,IA5,29079.66703
IA4,IA2,12837.54673
IA5,IA4,29098.00298
IA5,IA8,35661.51316
IA5,IA6,15250.3424
IA5,IA13,25367.25467
IA6,IA70,25595.54912
IA7,IA5,15295.1056
IA8,IA85,23583.61163
IA9,IA5,35848.70763
IA10,IA11,38074.62083
IA10,IA16,18942.11249
IA10,IA23,20811.1397
IA10,IA22,37890.03142
IA11,IA13,10044.00203
IA12,IA10,38039.63544
IA13,IA5,25364.36786
IA13,IA12,10080.00778
IA14,IA15,8051.734571
IA15,IA10,18896.74463
IA16,IA17,8040.800785
IA17,IA60,14222.99815
IA18,IA24,9237.75107
IA19,IA18,10562.97434
IA20,IA88,15649.41658
IA21,IA20,10498.92096
IA22,IA10,37882.58581
IA22,IA25,15278.8636
IA22,IA87,27495.89387
IA22,IA33,24557.59169
IA22,IA34,18478.64752
IA23,IA21,8926.135764
IA24,IA10,20464.75839
IA25,IA26,12211.69391
IA25,IA22,15339.08496
IA25,IA34,14616.67171
IA26,IA66,22560.80048
IA26,IA25,12208.54093
IA27,IA32,11093.33707
IA28,IA99,15328.59756
IA29,IA35,33447.83741
IA29,IA45,12568.69531
IA29,IA40,15285.35178
IA30,IA34,20891.86897
IA31,IA54,7766.510096
IA32,IA22,24584.7934
IA33,IA28,11084.99285
IA34,IA31,20995.19698
IA34,IA25,14618.55066
IA34,IA35,17191.13594
IA34,IA22,18434.04452
IA35,IA34,17192.47074
IA35,IA29,33447.83741
IA36,IA39,28992.32405
IA36,IA98,36500.25342
IA36,IA125,22037.05287
IA36,IA132,44693.24536
IA37,IA44,12612.9946
IA38,IA29,15369.09752
IA39,IA37,12415.58748
IA40,IA43,8756.032336
IA41,IA36,29023.46402
IA42,IA41,12395.86956
IA43,IA42,12658.63436
IA44,IA38,8749.819487
IA45,IA47,13969.44069
IA46,IA29,12687.26154
IA47,IA51,11307.03874
IA48,IA52,16624.17703
IA48,IA58,34878.03595
IA48,IA72,48201.40721
IA49,IA46,15020.41936
IA50,IA49,10176.7008
IA51,IA53,6588.724675
IA52,IA50,6636.755539
IA53,IA48,16742.79827
IA54,IA56,15625.96174
IA55,IA30,8123.66937
IA56,IA59,18262.61423
IA57,IA55,15411.29635
IA58,IA57,18280.62003
IA59,IA48,34865.16762
IA60,IA63,16205.12725
IA61,IA14,14235.29785
IA62,IA61,15690.62322
IA63,IA65,9214.845516
IA64,IA62,9745.006411
IA65,IA79,17355.21223
IA66,IA74,49262.83938
IA66,IA26,22560.80048
IA67,IA69,14427.1704
IA67,IA68,32771.31946
IA68,IA67,32802.94839
IA68,IA79,20688.06338
IA69,IA71,36293.05614
IA69,IA67,14419.88165
IA70,IA71,23011.98427
IA70,IA7,25545.74534
IA70,IA3,30754.31855
IA71,IA69,36293.05614
IA71,IA70,22995.8567
IA72,IA74,27353.13028
IA73,IA48,48527.60216
IA74,IA79,26469.33614
IA74,IA75,17488.2363
IA74,IA66,49262.83938
IA74,IA73,27306.11864
IA75,IA77,10986.14529
IA76,IA78,8054.904067
IA77,IA76,10972.96048
IA78,IA74,9449.249044
IA79,IA74,26473.04815
IA79,IA80,18272.92019
IA79,IA64,17361.89619
IA79,IA68,20674.34015
IA81,IA79,18362.12199
IA82,IA83,36167.4913
IA83,IA100,25455.85684
IA83,IA82,36167.4913
IA83,IA84,15978.57126
IA84,IA9,23382.49843
IA85,IA83,15999.60365
IA86,IA22,26898.17633
IA87,IA97,12869.4022
IA88,IA94,10771.74617
IA89,IA19,15551.1536
IA90,IA93,7620.086734
IA91,IA109,18120.90385
IA92,IA91,8918.659216
IA93,IA89,10807.74564
IA94,IA92,7573.185942
IA95,IA90,8884.683304
IA96,IA114,24393.78338
IA96,IA97,8474.429533
IA97,IA96,8474.429533
IA97,IA86,13461.74271
IA98,IA27,16379.61576
IA99,IA36,37614.08707
