Node,y,x
IA0,40.41,-91.43
IA1,40.62,-91.56
IA2,40.63,-91.56
IA3,40.66,-91.34
IA4,40.74,-91.56
IA5,41,-91.56
IA6,40.91,-91.41
IA7,40.91,-91.41
IA8,41,-91.96
IA9,41,-91.97
IA10,41.65,-91.57
IA11,41.31,-91.54
IA12,41.31,-91.54
IA13,41.22,-91.53
IA14,41.66,-91.25
IA15,41.66,-91.35
IA16,41.66,-91.35
IA17,41.66,-91.25
IA18,41.69,-91.91
IA19,41.69,-92.04
IA20,41.69,-92.04
IA21,41.69,-91.91
IA22,41.97,-91.7
IA23,41.69,-91.8
IA24,41.69,-91.8
IA25,41.93,-91.54
IA26,41.91,-91.4
IA27,42.24,-91.88
IA28,42.24,-91.88
IA29,42.47,-91.46
IA30,42.07,-91.33
IA31,42.07,-91.33
IA32,42.17,-91.78
IA33,42.17,-91.78
IA34,42.05,-91.56
IA35,42.21,-91.53
IA36,42.53,-92.38
IA37,42.45,-91.91
IA38,42.46,-91.65
IA39,42.45,-92.06
IA40,42.46,-91.65
IA41,42.45,-92.05
IA42,42.45,-91.9
IA43,42.46,-91.75
IA44,42.46,-91.75
IA45,42.47,-91.31
IA46,42.47,-91.31
IA47,42.47,-91.14
IA48,42.46,-90.73
IA49,42.47,-91.13
IA50,42.44,-91.01
IA51,42.44,-91.01
IA52,42.44,-90.93
IA53,42.44,-90.93
IA54,42.1,-91.27
IA55,42.1,-91.27
IA56,42.22,-91.18
IA57,42.22,-91.18
IA58,42.31,-91.01
IA59,42.31,-91.01
IA60,41.64,-91.08
IA61,41.64,-91.08
IA62,41.63,-90.9
IA63,41.63,-90.89
IA64,41.62,-90.78
IA65,41.62,-90.78
IA66,41.89,-91.13
IA67,41.4,-91.09
IA68,41.51,-90.79
IA69,41.31,-91.19
IA70,40.82,-91.18
IA71,40.99,-91.17
IA72,42.04,-90.67
IA73,42.04,-90.67
IA74,41.82,-90.56
IA75,41.82,-90.35
IA76,41.82,-90.35
IA77,41.82,-90.22
IA78,41.82,-90.45
IA79,41.58,-90.58
IA80,41.59,-90.37
IA81,41.59,-90.37
IA82,40.74,-92.44
IA83,41.04,-92.4
IA84,41,-92.23
IA85,41,-92.23
IA86,41.96,-92.02
IA87,41.96,-92.03
IA88,41.7,-92.22
IA89,41.7,-92.22
IA90,41.7,-92.45
IA91,41.7,-92.55
IA92,41.7,-92.45
IA93,41.7,-92.35
IA94,41.7,-92.35
IA95,41.7,-92.55
IA96,41.96,-92.29
IA97,41.96,-92.19
IA98,42.34,-92.03
IA99,42.33,-92.01
IA100,41.16,-92.63
IA101,41.28,-92.66
IA102,41.4,-92.91
IA103,41.31,-93.1
IA104,41.4,-92.91
IA105,41.47,-93.04
IA106,41.69,-92.77
IA107,41.68,-92.9
IA108,41.68,-93.08
IA109,41.7,-92.77
IA110,41.68,-93
IA111,41.68,-93.08
IA112,41.68,-93
IA113,41.68,-92.9
IA114,41.98,-92.58
IA115,41.96,-93.09
IA116,42.01,-92.9
IA117,42.46,-93.05
IA118,42.45,-93.05
IA119,42.43,-93.14
IA120,42.43,-93.14
IA121,42.46,-92.93
IA122,42.46,-92.93
IA123,42.46,-92.77
IA124,42.46,-92.77
IA125,42.46,-92.63
IA126,42.46,-92.63
IA127,43.08,-92.71
IA128,43.08,-92.71
IA129,43.12,-93.02
IA130,43.12,-93.02
IA131,42.9,-92.55
IA132,42.9,-92.55
IA133,41.53,-93.12
IA134,41.53,-93.12
IA135,41.34,-93.24
IA136,41.44,-93.35
IA137,41.62,-93.67
IA138,41.69,-93.21
IA139,41.69,-93.21
IA140,41.59,-93.25
IA141,41.59,-93.25
IA142,41.89,-93.2
IA143,41.82,-93.3
IA144,41.82,-93.3
IA145,42.08,-93.61
IA146,42.47,-93.57
IA147,42.31,-93.57
IA148,42.01,-93.44
IA149,42.01,-93.31
IA150,42.01,-93.31
IA151,42.31,-93.57
IA152,42.01,-93.16
IA153,42.67,-93.46
IA154,42.77,-93.38
IA155,42.78,-93.38
IA156,42.67,-93.46
IA157,42.45,-93.72
IA158,42.45,-93.26
IA159,42.45,-93.26
IA160,42.45,-93.39
IA161,42.45,-93.39
IA162,43.13,-93.35
IA163,42.94,-93.35
IA164,42.94,-93.35
IA165,43.11,-93.12
IA166,43.11,-93.12
IA167,43.1,-93.23
IA168,43.11,-93.23
IA169,43.4,-93.35
IA170,43.4,-93.35
IA171,43.28,-93.35
IA172,43.29,-93.35
IA173,40.84,-93.82
IA174,40.63,-93.89
IA175,40.64,-93.87
IA176,40.74,-93.84
IA177,40.84,-93.81
IA178,40.74,-93.84
IA179,41.02,-93.79
IA180,41.02,-93.79
IA181,41.27,-93.78
IA182,41.27,-93.78
IA183,41.51,-94.21
IA184,41.5,-94.22
IA185,41.84,-94.03
IA186,41.61,-93.99
IA187,41.83,-93.92
IA188,41.83,-93.92
IA189,42.03,-93.85
IA190,42.03,-94.03
IA191,42.03,-93.84
IA192,42.45,-94.14
IA193,42.27,-94.18
IA194,42.27,-94.11
IA195,42.45,-93.9
IA196,42.45,-93.9
IA197,42.45,-93.72
IA198,42.45,-93.82
IA199,42.45,-93.82
IA200,41.5,-94.49
IA201,41.49,-94.65
IA202,41.49,-94.32
IA203,41.5,-94.5
IA204,41.49,-94.65
IA205,41.49,-94.32
IA206,41.5,-94.76
IA207,41.5,-94.76
IA208,42.45,-94.29
IA209,42.45,-94.29
IA210,42.45,-94.67
IA211,42.45,-94.67
IA212,40.59,-95.03
IA213,40.98,-94.98
IA214,41.5,-95.03
IA215,41.5,-94.87
IA216,41.5,-94.87
IA217,41.5,-95.34
IA218,41.5,-95.24
IA219,41.5,-95.24
IA220,41.5,-95.34
IA221,41.91,-94.91
IA222,42.07,-94.88
IA223,42.47,-95.15
IA224,42.44,-94.97
IA225,42.72,-95.15
IA226,42.63,-95.15
IA227,43.15,-95.15
IA228,42.85,-95.15
IA229,43.32,-95.15
IA230,43.41,-95.13
IA231,40.78,-95.8
